"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&base_name=Trilobita&interval=Devonian&show=coords,timecompare"
"Access Time","Sat 2024-12-07 13:57:49 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Trilobita"
"","interval","Devonian"
"","timerule","major"
"","taxon_status","all"
"","show","coords,timecompare"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","time_contain","time_major","time_buffer","time_overlap"
"39954","occ","","","3104","Dicranurus elegantus","species","19795","species not entered","Dicranurus","genus","19795","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39955","occ","","","3104","Huntonia oklahomae","species","21604","replaced by, species not entered","Huntoniatonia","genus","155453","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39956","occ","","","3104","Cyphaspis carrolli","species","21134","species not entered","Cyphaspis","genus","21134","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39957","occ","","","3104","Maurotarion axitiosum","species","21249","species not entered","Maurotarion","genus","21249","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39958","occ","","","3104","Oinochoe coccymelum","species","347206","","Oinochoe coccymelum","species","347205","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39959","occ","","","3104","Kainops invius","species","21614","species not entered","Kainops","genus","21614","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39960","occ","","","3104","Odontochile syncrama","species","21665","species not entered","Odontochile","genus","21665","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39961","occ","","","3104","Cordania wessmani","species","490475","","Cordania wessmani","species","490475","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"39962","occ","","","3104","Kettneraspis williamsi","species","19811","species not entered","Kettneraspis","genus","19811","Lochkovian","","419.2","410.8","137","-96.500000","34.500000","Lochkovian","Lochkovian","Lochkovian","Lochkovian"
"44041","occ","","","3476","Lacunoporaspis sp.","genus","21229","","Lacunoporaspis","genus","21229","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44042","occ","","","3476","Mephiarges ? sp.","genus","19750","","Mephiarges","genus","19750","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44060","occ","","","3477","Cheirurus (Crotalocephalus) sp.","subgenus","490524","obsolete variant of","Crotalocephalus","genus","21509","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44081","occ","","","3478","Cheirurus (Crotalocephalus) sp.","subgenus","490524","obsolete variant of","Crotalocephalus","genus","21509","Zlichovian","","407.6","393.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44082","occ","","","3478","Lacunoporaspis ? sp.","genus","21229","","Lacunoporaspis","genus","21229","Zlichovian","","407.6","393.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44083","occ","","","3478","Acanthopyge sp.","genus","19722","","Acanthopyge","genus","19722","Zlichovian","","407.6","393.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44121","occ","","","3480","Schizoproetoides ? sp.","genus","21363","","Schizoproetoides","genus","21363","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44136","occ","","","3483","Cheirurus (Crotalocephalus) sp.","subgenus","490524","obsolete variant of","Crotalocephalus","genus","21509","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44137","occ","","","3483","Acanthopyge sp.","genus","19722","","Acanthopyge","genus","19722","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"44138","occ","","","3483","Lacunoporaspis ? sp.","genus","21229","","Lacunoporaspis","genus","21229","Early Emsian","","407.6","398.3","198","-132.333328","55.500000","Emsian","Emsian","Emsian","Emsian"
"45100","occ","","","3560","Phacops sp.","genus","21701","","Phacops","genus","21701","Famennian","","372.2","358.9","211","86.140282","46.749168","Famennian","Famennian","Famennian","Famennian"
"45120","occ","","","3559","Reedops cf. sternbergi","species","490113","","Reedops sternbergi","species","490112","Pragian","","410.8","407.6","207","72.800003","39.616669","Pragian","Pragian","Pragian","Pragian"
"45804","occ","","","3639","Dechenella sp.","genus","21144","","Dechenella","genus","21144","Eifelian","","393.3","387.7","221","-148.467773","65.491386","Eifelian","Eifelian","Eifelian","Eifelian"
"47780","occ","","","3844","Proetus (Crassiproetus) crassimarginatus","species","321838","recombined as","Crassiproetus crassimarginatus","species","321834","Eifelian","","393.3","387.7","257","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47881","occ","","","3845","Proetus (Crassiproetus) crassimarginatus","species","321838","recombined as","Crassiproetus crassimarginatus","species","321834","Eifelian","","393.3","387.7","257","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47883","occ","","","3845","Dechenella (Basidechenella) formosensis","species","468001","subjective synonym of","Monodechenella halli","species","431152","Eifelian","","393.3","387.7","257","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47884","occ","","","3845","Mannopyge halli","species","431153","recombined as","Monodechenella halli","species","431152","Eifelian","","393.3","387.7","264","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47885","occ","","","3845","Mystrocephala stummi","species","474563","","Mystrocephala stummi","species","474563","Eifelian","","393.3","387.7","257","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47887","occ","","","3845","Acanthopyge contusa","species","467326","recombined as","Belenopyge contusa","species","360894","Eifelian","","393.3","387.7","264","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47954","occ","","","3850","Dechenella (Dechenella) halli ?","species","431152","recombined as","Monodechenella halli","species","431152","Eifelian","","393.3","387.7","257","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"47980","occ","","","3853","Dechenella (Dechenella) halli ?","species","431152","recombined as","Monodechenella halli","species","431152","Eifelian","","393.3","387.7","257","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"48243","occ","","","3845","Harpidella sp.","genus","21197","","Harpidella","genus","21197","Eifelian","","393.3","387.7","264","-81.283333","43.983334","Eifelian","Eifelian","Eifelian","Eifelian"
"48262","occ","","","3916","Phacops natlensis","species","490327","","Phacops natlensis","species","490327","Emsian","","407.6","393.3","267","-128.566666","63.305000","Emsian","Emsian","Emsian","Emsian"
"48263","occ","","","3916","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Emsian","","407.6","393.3","267","-128.566666","63.305000","Emsian","Emsian","Emsian","Emsian"
"48264","occ","","","3916","Koneprusia ? sp.","genus","19812","","Koneprusia","genus","19812","Emsian","","407.6","393.3","267","-128.566666","63.305000","Emsian","Emsian","Emsian","Emsian"
"48279","occ","","","3920","Phacops natlensis","species","490327","","Phacops natlensis","species","490327","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48280","occ","","","3920","Lacunoporaspis sp.","genus","21229","","Lacunoporaspis","genus","21229","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48291","occ","33929","","3923","Terranovia nalivkini","species","359394","","Terranovia nalivkini","species","359394","Early Emsian","","407.6","398.3","63191","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48292","occ","","","3924","Phacops natlensis","species","490327","","Phacops natlensis","species","490327","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48293","occ","","","3924","Lacunoporaspis sp.","genus","21229","","Lacunoporaspis","genus","21229","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48294","occ","","","3924","Acanthopyge (Mephiarges) sp.","subgenus","358976","","Acanthopyge (Mephiarges)","subgenus","358976","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48304","occ","","","3926","Phacops natlensis","species","490327","","Phacops natlensis","species","490327","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48305","occ","","","3926","Lacunoporaspis sp.","genus","21229","","Lacunoporaspis","genus","21229","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
"48306","occ","","","3927","Phacops natlensis","species","490327","","Phacops natlensis","species","490327","Early Emsian","","407.6","398.3","267","-128.544449","63.279167","Emsian","Emsian","Emsian","Emsian"
